
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 19:51:24	 1525	 -96	784	56	 204.26	 -2	-1 	0
2025-11-03 19:51:25	 1560	 -349	677	56	 68.91	 -3	-1 	0
2025-11-03 19:51:26	 1595	 -538	737	56	 144.49	 -11	-1 	0
2025-11-03 19:51:27	 1630	 -465	779	56	 54.84	 0	4 	0
2025-11-03 19:51:28	 1665	 -470	848	56	 104.06	 1	-6 	0
2025-11-03 19:51:29	 1700	 -465	776	56	 353.32	 -1	-1 	0
2025-11-03 19:51:30	 1735	 -447	721	56	 333.98	 4	-5 	0
2025-11-03 19:51:31	 1770	 -115	752	56	 74.18	 8	11 	0
2025-11-03 19:51:32	 1805	 4	1177	32	 95.27	 3	17 	0
2025-11-03 19:51:33	 1840	 85	1253	24	 37.40	 6	17 	0
2025-11-03 19:51:34	 1875	 51	1240	32	 207.90	 -12	-5 	0
2025-11-03 19:51:35	 1910	 -62	1332	56	 57.79	 0	4 	0
2025-11-03 19:51:36	 1945	 -60	1380	56	 129.86	 0	0 	0
2025-11-03 19:51:37	 1988	 -62	1375	56	 216.00	 -1	-1 	0
2025-11-03 19:51:38	 2029	 -117	1243	48	 210.72	 -3	-5 	0
2025-11-03 19:51:39	 2064	 -223	1138	8	 87.68	 -2	-2 	0
2025-11-03 19:51:40	 2099	 -191	1203	24	 40.22	 4	5 	0
2025-11-03 19:51:45	 2272	 -130	1263	48	 82.40	 0	0 	0
2025-11-03 19:51:46	 2307	 -61	1306	56	 71.86	 3	5 	0
2025-11-03 19:51:47	 2342	 -45	1443	56	 168.54	 -4	2 	0
2025-11-03 19:51:48	 2377	 -112	1409	56	 254.67	 -1	-4 	0
2025-11-03 19:51:49	 2412	 -44	1186	43	 323.22	 4	-7 	0
2025-11-03 19:51:50	 2447	 129	1040	8	 5.41	 4	0 	0
2025-11-03 19:51:51	 2494	 171	1117	8	 135.49	 -5	5 	0
2025-11-03 19:51:52	 2529	 3	1263	48	 123.19	 -5	0 	0
2025-11-03 19:51:53	 2564	 -88	1439	56	 77.48	 0	7 	0
2025-11-03 19:51:54	 2599	 -62	1609	56	 358.38	 0	0 	0
2025-11-03 19:51:55	 2634	 74	1619	56	 28.26	 7	1 	0
2025-11-03 19:51:56	 2669	 170	1647	56	 79.24	 0	0 	0
2025-11-03 19:52:17	 3391	 187	1723	56	 79.24	 1	6 	0
2025-11-03 19:52:18	 3437	 204	1775	56	 88.03	 -1	-2 	0
2025-11-03 19:52:19	 3472	 196	1554	56	 75.72	 -1	-9 	0
2025-11-03 19:52:20	 3507	 174	1552	56	 19.47	 -1	0 	0
2025-11-03 19:52:22	 3574	 43	1647	56	 191.74	 -2	0 	0
2025-11-03 19:52:25	 3659	 31	1647	56	 14.55	 1	0 	0
2025-11-03 19:52:26	 3694	 152	1647	56	 58.50	 0	0 	0
2025-11-03 19:52:32	 3913	 155	1650	56	 98.93	 -1	0 	0
2025-11-03 19:52:35	 4027	 144	1654	56	 93.65	 0	0 	0
2025-11-03 19:52:36	 4068	 146	1552	56	 56.74	 -1	0 	0
2025-11-03 19:52:37	 4103	 133	1552	56	 58.50	 -1	0 	0
2025-11-03 19:52:39	 4160	 122	1552	56	 18.07	 -1	0 	0
2025-11-03 19:52:42	 4253	 130	1553	56	 149.90	 -2	1 	0
2025-11-03 19:52:43	 4288	 -40	1628	56	 225.49	 -3	0 	0
