timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 15:18:30	 217	 -96	784	56	 90.00	 -1	0 	0
2025-11-03 15:18:31	 252	 -97	931	8	 90.00	 -1	1 	0
2025-11-03 15:18:32	 287	 -91	989	16	 81.21	 0	5 	0
2025-11-03 15:18:33	 322	 -78	1078	32	 84.73	 0	4 	0
2025-11-03 15:18:34	 357	 -59	1278	56	 91.76	 0	1 	0
2025-11-03 15:18:35	 392	 -58	1298	56	 82.97	 0	0 	0
2025-11-03 15:18:39	 526	 -45	1493	56	 74.18	 0	7 	0
2025-11-03 15:18:40	 561	 -51	1574	56	 3.87	 0	0 	0
2025-11-03 15:18:42	 642	 -28	1577	56	 0.35	 4	0 	0
2025-11-03 15:18:43	 677	 39	1577	56	 0.35	 1	0 	0
2025-11-03 15:18:44	 712	 245	1578	56	 12.66	 4	0 	0
2025-11-03 15:18:45	 747	 416	1568	56	 0.35	 7	-1 	0
2025-11-03 15:18:46	 782	 604	1613	56	 86.48	 2	5 	0
2025-11-03 15:18:47	 817	 630	1617	56	 323.44	 5	-3 	0
2025-11-03 15:18:48	 857	 705	1609	56	 217.97	 -4	-2 	0
2025-11-03 15:18:49	 892	 628	1515	56	 121.29	 1	-2 	0
2025-11-03 15:18:50	 927	 575	1681	56	 94.92	 -1	5 	0
2025-11-03 15:18:51	 962	 558	1640	56	 189.84	 -6	-2 	0
2025-11-03 15:18:52	 997	 294	1642	56	 151.17	 -8	1 	0
2025-11-03 15:18:53	 1032	 208	1700	56	 110.74	 -1	2 	0
2025-11-03 15:18:54	 1067	 194	1724	56	 219.73	 -3	-2 	0
2025-11-03 15:18:55	 1102	 82	1605	56	 203.91	 -11	-6 	0
2025-11-03 15:18:56	 1137	 -110	1385	56	 295.31	 1	-10 	0
2025-11-03 15:18:57	 1172	 15	1029	14	 326.95	 3	-10 	0
2025-11-03 15:18:58	 1207	 11	926	8	 93.52	 -1	1 	0
2025-11-03 15:18:59	 1242	 -82	1329	56	 61.88	 2	15 	0
2025-11-03 15:19:00	 1277	 -17	1534	56	 68.91	 0	7 	0
2025-11-03 15:19:01	 1312	 303	1581	56	 335.74	 14	-5 	0
2025-11-03 15:19:02	 1347	 465	1644	56	 321.68	 2	0 	0
2025-11-03 15:19:03	 1382	 476	1647	56	 281.25	 -2	0 	0
2025-11-03 15:19:04	 1417	 452	1552	56	 268.95	 0	-2 	0
2025-11-03 15:19:05	 1452	 365	1344	56	 290.04	 4	-14 	0
2025-11-03 15:19:06	 1487	 431	923	56	 275.98	 0	-6 	0
2025-11-03 15:19:07	 1522	 419	841	40	 316.41	 -4	2 	0
2025-11-03 15:19:08	 1557	 349	974	56	 253.12	 -2	-3 	0
2025-11-03 15:19:09	 1592	 325	814	40	 230.27	 -3	-7 	0
2025-11-03 15:19:10	 1627	 210	660	40	 177.54	 3	-1 	0
2025-11-03 15:19:11	 1662	 280	649	40	 177.54	 0	-1 	0
2025-11-03 15:19:12	 1699	 185	653	40	 177.54	 -8	0 	0
2025-11-03 15:19:13	 1734	 151	648	40	 165.23	 4	-1 	5
2025-11-03 15:19:14	 1769	 315	627	40	 68.55	 2	4 	0
