
When: 2025-11-03 12:29:24 Episode: 1 Map: 2
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 12:29:25	 176	 923	1098	40	 82.27	 0	0 	0
2025-11-03 12:29:26	 211	 997	1199	40	 80.51	 0	0 	0
2025-11-03 12:29:42	 711	 1052	1858	-20	 280.55	 -2	-7 	0
2025-11-03 12:29:43	 746	 960	1614	0	 203.20	 -7	-5 	0
2025-11-03 12:29:44	 781	 848	1492	40	 282.30	 0	-5 	0
2025-11-03 12:29:45	 816	 979	1479	48	 335.04	 6	-1 	0
2025-11-03 12:29:46	 851	 989	1456	48	 261.21	 -1	0 	0
2025-11-03 12:29:50	 987	 978	1459	48	 310.43	 -1	0 	0
2025-11-03 12:29:54	 1100	 1005	1375	48	 303.40	 2	-7 	0
2025-11-03 12:29:55	 1135	 1087	1308	48	 350.86	 6	0 	0
2025-11-03 12:29:56	 1170	 1180	1304	48	 234.84	 0	0 	0
2025-11-03 12:29:57	 1221	 1174	1321	48	 305.16	 -1	0 	0
2025-11-03 12:30:01	 1349	 1192	1265	48	 291.09	 2	-7 	0
2025-11-03 12:30:02	 1384	 1247	1230	48	 48.87	 0	2 	0
2025-11-03 12:30:03	 1419	 1248	1415	48	 110.39	 -1	0 	0
2025-11-03 12:30:04	 1454	 1128	1415	48	 173.67	 -1	0 	0
2025-11-03 12:30:05	 1489	 1101	1387	48	 193.01	 -6	-2 	0
2025-11-03 12:30:06	 1524	 909	1338	48	 177.19	 -3	-1 	0
2025-11-03 12:30:07	 1559	 758	1322	48	 270.35	 -2	-1 	0
2025-11-03 12:30:11	 1722	 743	1326	48	 114.26	 -2	3 	0
2025-11-03 12:30:13	 1780	 775	1406	48	 358.24	 6	-1 	0
2025-11-03 12:30:14	 1830	 855	1404	48	 347.70	 0	-2 	0
2025-11-03 12:30:15	 1865	 968	1399	48	 75.59	 2	0 	0
2025-11-03 12:30:16	 1900	 981	1449	48	 101.95	 -2	6 	0
2025-11-03 12:30:17	 1935	 971	1716	16	 61.52	 2	7 	0
