

When: 2025-11-03 18:09:38 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 18:09:56	 781	 -96	784	56	 91.76	 -1	0 	0
2025-11-03 18:09:57	 816	 -98	822	56	 84.73	 -1	0 	0
2025-11-03 18:09:59	 896	 -100	845	56	 88.24	 -1	0 	0
2025-11-03 18:10:01	 937	 -100	861	8	 82.97	 0	3 	0
2025-11-03 18:10:02	 972	 -98	1101	32	 102.30	 -2	7 	0
2025-11-03 18:10:03	 1007	 -79	1383	56	 75.94	 1	8 	0
2025-11-03 18:10:04	 1042	 57	1614	56	 7.38	 7	2 	0
2025-11-03 18:10:05	 1077	 223	1729	56	 88.24	 2	6 	0
2025-11-03 18:10:06	 1121	 225	1785	56	 105.82	 -1	2 	0
2025-11-03 18:10:07	 1156	 214	1823	56	 105.82	 -1	2 	0
2025-11-03 18:10:08	 1191	 205	1854	48	 102.30	 -1	0 	0
2025-11-03 18:10:10	 1283	 147	2001	48	 126.91	 -4	7 	0
2025-11-03 18:10:11	 1318	 -55	2190	48	 107.58	 -6	6 	0
2025-11-03 18:10:12	 1353	 -93	2358	48	 17.93	 0	0 	0
2025-11-03 18:10:14	 1413	 -80	2382	48	 65.39	 2	3 	0
2025-11-03 18:10:15	 1448	 77	2553	48	 335.74	 4	1 	0
2025-11-03 18:10:16	 1483	 121	2571	48	 321.68	 0	0 	0
2025-11-03 18:10:18	 1557	 171	2438	48	 288.28	 2	-8 	0
2025-11-03 18:10:19	 1592	 239	2257	48	 356.84	 0	-1 	0
2025-11-03 18:10:24	 1765	 197	2234	48	 23.20	 -4	-2 	0
2025-11-03 18:10:25	 1800	 164	2220	48	 23.20	 -1	-1 	0
2025-11-03 18:10:27	 1863	 186	2257	48	 112.85	 -2	3 	0
2025-11-03 18:10:28	 1898	 144	2409	48	 149.77	 0	2 	0
2025-11-03 18:10:29	 1933	 121	2412	63	 214.80	 -5	-4 	3
2025-11-03 18:10:30	 1968	 54	2384	48	 293.91	 1	-1 	3
2025-11-03 18:10:31	 2003	 26	2370	48	 260.51	 -3	-3 	3
2025-11-03 18:10:32	 2038	 47	2310	48	 323.79	 0	-3 	0
2025-11-03 18:10:33	 2073	 185	2228	48	 14.77	 7	0 	0
2025-11-03 18:10:34	 2108	 418	2347	48	 69.26	 3	6 	0
2025-11-03 18:10:35	 2143	 567	2586	48	 35.86	 6	5 	0
2025-11-03 18:10:38	 2232	 574	2641	48	 213.40	 -3	-2 	0
2025-11-03 18:10:39	 2267	 553	2628	48	 238.01	 -1	-1 	0
