
When: 2025-11-04 09:29:27 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 09:29:33	 356	 -96	784	56	 184.92	 -1	-1 	0
2025-11-04 09:29:34	 391	 -280	689	56	 162.07	 -8	-2 	0
2025-11-04 09:29:35	 426	 -528	763	56	 105.82	 -4	2 	0
2025-11-04 09:29:36	 461	 -473	857	56	 49.57	 1	2 	0
2025-11-04 09:29:37	 496	 -532	769	56	 333.98	 -3	-3 	0
2025-11-04 09:29:38	 531	 -496	726	56	 24.96	 1	0 	0
2025-11-04 09:29:39	 566	 -460	732	56	 2.11	 0	0 	0
2025-11-04 09:29:40	 609	 -354	728	56	 349.80	 7	-1 	0
2025-11-04 09:29:41	 644	 -113	725	56	 63.63	 2	0 	0
2025-11-04 09:29:42	 679	 -54	889	36	 90.00	 1	7 	0
2025-11-04 09:30:07	 1541	 -32	994	16	 90.00	 0	0 	0
2025-11-04 09:30:08	 1576	 -10	1198	40	 118.12	 0	5 	0
2025-11-04 09:30:09	 1611	 -30	1240	48	 230.62	 -4	-4 	0
2025-11-04 09:30:10	 1646	 -240	1066	8	 181.41	 -9	-5 	0
2025-11-04 09:30:11	 1681	 -352	1009	8	 58.36	 -2	-4 	0
2025-11-04 09:30:12	 1716	 -361	979	8	 84.73	 0	2 	0
2025-11-04 09:30:13	 1751	 -343	1063	8	 65.39	 1	5 	0
2025-11-04 09:30:15	 1825	 -289	1262	8	 344.53	 2	-1 	0
2025-11-04 09:30:16	 1860	 -17	1269	56	 330.47	 1	-3 	0
2025-11-04 09:30:17	 1895	 170	1196	8	 148.01	 -2	7 	0
2025-11-04 09:30:18	 1930	 63	1263	32	 133.95	 -4	0 	0
2025-11-04 09:30:19	 1965	 -59	1271	56	 102.30	 -2	2 	0
2025-11-04 09:30:20	 2000	 -108	1499	56	 56.60	 1	7 	0
2025-11-04 09:30:21	 2035	 -20	1630	56	 0.35	 0	0 	0
2025-11-04 09:30:22	 2070	 69	1636	56	 0.35	 7	0 	0
2025-11-04 09:30:23	 2105	 312	1622	56	 291.80	 2	-1 	0
2025-11-04 09:30:24	 2140	 340	1616	56	 268.95	 0	-1 	0
2025-11-04 09:30:25	 2187	 340	1628	56	 268.95	 0	0 	0
2025-11-04 09:30:28	 2287	 254	1619	56	 103.71	 -1	-1 	0
2025-11-04 09:30:29	 2327	 294	1618	56	 354.73	 6	-1 	0
2025-11-04 09:30:30	 2362	 402	1552	56	 273.87	 1	-7 	0
2025-11-04 09:30:31	 2397	 380	1285	56	 286.17	 0	-9 	0
2025-11-04 09:30:32	 2432	 402	1111	56	 279.14	 0	-1 	0
2025-11-04 09:30:33	 2467	 431	1009	56	 303.75	 0	-3 	0
2025-11-04 09:30:34	 2502	 431	984	56	 238.71	 0	-1 	0
2025-11-04 09:30:44	 2858	 319	841	40	 231.68	 -6	-7 	0
2025-11-04 09:30:47	 2967	 193	649	40	 164.88	 -4	0 	0
2025-11-04 09:30:51	 3104	 112	677	152	 356.13	 5	-1 	5
2025-11-04 09:30:52	 3139	 361	741	40	 117.42	 -3	8 	0
2025-11-04 09:30:53	 3174	 421	1045	56	 115.66	 1	13 	0
2025-11-04 09:30:54	 3209	 336	1405	56	 99.84	 -1	11 	0
2025-11-04 09:30:55	 3244	 315	1647	56	 154.34	 -4	0 	0
2025-11-04 09:30:56	 3279	 185	1734	56	 92.81	 -2	5 	0
2025-11-04 09:30:58	 3354	 167	1806	56	 99.84	 -1	0 	0
2025-11-04 09:31:00	 3422	 162	1807	56	 99.84	 -1	-1 	0
2025-11-04 09:31:06	 3625	 148	1825	56	 136.76	 -3	4 	0
2025-11-04 09:31:07	 3660	 -31	2000	48	 135.00	 -7	5 	0
2025-11-04 09:31:08	 3695	 -134	2167	48	 50.62	 -1	1 	0
2025-11-04 09:31:10	 3761	 -134	2185	48	 64.69	 1	2 	0
2025-11-04 09:31:11	 3796	 -30	2400	48	 64.69	 3	7 	0
2025-11-04 09:31:12	 3831	 106	2515	48	 3.16	 5	1 	0
2025-11-04 09:31:13	 3866	 148	2542	48	 320.98	 0	0 	0
2025-11-04 09:31:15	 3947	 265	2495	48	 342.07	 7	-3 	0
2025-11-04 09:31:16	 3982	 391	2449	48	 234.84	 0	-1 	0
2025-11-04 09:31:17	 4017	 286	2449	48	 187.38	 -8	-1 	0
2025-11-04 09:31:18	 4052	 144	2360	48	 201.45	 0	-2 	0
2025-11-04 09:31:20	 4094	 144	2349	48	 118.83	 -1	2 	0
2025-11-04 09:31:21	 4129	 144	2434	48	 201.45	 0	0 	0
2025-11-04 09:31:23	 4206	 197	2419	48	 340.31	 6	-3 	0
2025-11-04 09:31:24	 4241	 376	2335	48	 250.66	 0	-7 	0
2025-11-04 09:31:25	 4276	 232	2196	48	 173.32	 -5	-1 	0
2025-11-04 09:31:26	 4311	 123	2224	48	 129.38	 -5	4 	0
2025-11-04 09:31:27	 4346	 72	2287	48	 115.31	 -2	0 	3
2025-11-04 09:31:28	 4381	 19	2406	48	 39.73	 2	6 	3
2025-11-04 09:31:29	 4416	 246	2518	48	 8.09	 8	1 	0
2025-11-04 09:31:30	 4451	 399	2542	48	 278.44	 0	0 	0
2025-11-04 09:31:32	 4529	 438	2541	48	 176.48	 5	-1 	0
2025-11-04 09:31:35	 4645	 557	2473	48	 246.80	 -2	-3 	0
2025-11-04 09:31:36	 4680	 444	2267	48	 195.82	 -7	-5 	0
2025-11-04 09:31:37	 4715	 257	2182	48	 195.82	 -2	-1 	0
