timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 11:44:01	 780	 -110	778	56	 204.26	 -4	-2 	0
2025-11-04 11:44:02	 815	 -344	715	56	 170.86	 -9	0 	0
2025-11-04 11:44:03	 850	 -528	752	56	 70.66	 -1	0 	0
2025-11-04 11:44:05	 909	 -542	741	56	 72.42	 -2	-4 	0
2025-11-04 11:44:06	 944	 -540	743	56	 72.42	 1	5 	0
2025-11-04 11:44:07	 979	 -490	871	56	 72.42	 -2	-4 	0
2025-11-04 11:44:08	 1014	 -544	706	56	 7.38	 -1	-2 	0
2025-11-04 11:44:10	 1091	 -543	704	56	 3.87	 2	0 	0
2025-11-04 11:44:11	 1126	 -316	720	56	 5.62	 8	0 	0
2025-11-04 11:44:12	 1161	 -180	735	56	 77.70	 0	-1 	0
2025-11-04 11:44:13	 1196	 -151	986	8	 100.55	 -1	14 	0
2025-11-04 11:44:14	 1231	 -17	1303	56	 28.91	 1	2 	0
2025-11-04 11:44:15	 1266	 -112	1639	56	 60.55	 1	8 	0
2025-11-04 11:44:16	 1301	 141	1552	56	 352.00	 6	-1 	0
2025-11-04 11:44:17	 1336	 545	1637	56	 302.78	 12	-5 	0
2025-11-04 11:44:18	 1371	 661	1525	56	 255.32	 -1	-1 	0
2025-11-04 11:44:21	 1482	 584	1558	56	 165.67	 -4	1 	0
2025-11-04 11:44:22	 1517	 546	1573	56	 174.46	 -1	0 	0
2025-11-04 11:44:31	 1819	 256	1593	56	 156.88	 -15	3 	0
2025-11-04 11:44:32	 1854	 -112	1523	56	 265.86	 0	-3 	0
2025-11-04 11:44:33	 1889	 -104	1321	56	 272.90	 0	-9 	0
2025-11-04 11:44:34	 1924	 -104	1002	16	 272.90	 -1	-11 	0
2025-11-04 11:44:36	 2002	 -99	903	8	 81.65	 0	6 	0
2025-11-04 11:44:37	 2037	 -80	1173	40	 90.43	 -1	8 	0
2025-11-04 11:44:38	 2072	 -101	1273	56	 35.94	 -2	-3 	0
2025-11-04 11:44:39	 2107	 -86	1220	48	 0.79	 6	-1 	0
2025-11-04 11:44:40	 2142	 182	1230	8	 62.31	 -1	0 	0
2025-11-04 11:44:41	 2179	 163	1240	8	 178.33	 -5	0 	0
2025-11-04 11:44:42	 2214	 -90	1249	48	 178.33	 -9	0 	0
2025-11-04 11:44:43	 2249	 -275	1246	8	 176.57	 5	-1 	0
2025-11-04 11:44:44	 2284	 -94	1121	32	 67.58	 2	-3 	0
2025-11-04 11:44:45	 2319	 -40	1293	56	 100.98	 -1	7 	0
2025-11-04 11:44:46	 2354	 -17	1541	56	 20.12	 0	1 	0
2025-11-04 11:44:47	 2389	 141	1636	56	 60.55	 5	4 	0
2025-11-04 11:44:48	 2424	 200	1775	56	 102.74	 -1	0 	0
2025-11-04 11:44:50	 2506	 160	1695	56	 334.42	 4	-3 	0
2025-11-04 11:44:51	 2541	 307	1592	56	 290.47	 2	-3 	0
2025-11-04 11:44:52	 2576	 330	1595	56	 276.41	 -1	5 	0
2025-11-04 11:44:53	 2611	 292	1603	56	 202.58	 -6	-4 	0
2025-11-04 11:44:54	 2646	 141	1566	56	 83.05	 -1	1 	0
2025-11-04 11:44:55	 2681	 158	1775	56	 83.05	 0	0 	0
2025-11-04 11:44:56	 2716	 178	1775	56	 83.05	 0	0 	0
2025-11-04 11:45:04	 2988	 144	1813	56	 141.06	 -1	2 	0
2025-11-04 11:45:05	 3023	 56	1965	48	 90.08	 -2	3 	0
2025-11-04 11:45:06	 3058	 41	1996	48	 97.11	 -1	0 	0
2025-11-04 11:45:09	 3159	 -80	2107	48	 123.48	 -5	4 	0
2025-11-04 11:45:10	 3194	 -130	2151	48	 51.41	 -1	0 	0
2025-11-04 11:45:11	 3230	 -112	2277	48	 84.81	 0	7 	0
2025-11-04 11:45:12	 3265	 -78	2473	48	 351.65	 0	1 	0
2025-11-04 11:45:15	 3377	 -77	2486	48	 349.89	 -1	0 	0
2025-11-04 11:45:16	 3417	 -45	2478	48	 346.37	 5	-2 	0
2025-11-04 11:45:17	 3452	 174	2436	48	 305.94	 5	-4 	0
2025-11-04 11:45:18	 3487	 239	2294	48	 311.22	 0	-5 	0
2025-11-04 11:45:19	 3522	 239	2253	48	 37.35	 0	-1 	0
2025-11-04 11:45:21	 3574	 148	2360	48	 134.03	 -6	5 	0
2025-11-04 11:45:22	 3609	 144	2403	48	 202.58	 0	0 	0
2025-11-04 11:45:23	 3644	 47	2383	48	 232.47	 -5	-2 	3
2025-11-04 11:45:24	 3679	 42	2276	48	 315.08	 3	-7 	3
2025-11-04 11:45:25	 3714	 168	2231	48	 18.36	 7	1 	0
2025-11-04 11:45:26	 3749	 403	2306	48	 69.34	 2	0 	0
2025-11-04 11:45:27	 3784	 466	2474	48	 53.52	 3	6 	0
2025-11-04 11:45:28	 3819	 617	2671	48	 53.52	 3	0 	0
2025-11-04 11:45:31	 3938	 507	2544	48	 211.37	 -7	-5 	0
2025-11-04 11:45:32	 3973	 263	2395	48	 227.19	 -7	-5 	3
2025-11-04 11:45:33	 4008	 190	2206	48	 253.56	 -2	-8 	0
2025-11-04 11:45:34	 4043	 161	1921	48	 276.41	 0	-9 	0
2025-11-04 11:45:35	 4078	 239	1683	56	 359.03	 0	-2 	0
2025-11-04 11:45:36	 4113	 279	1596	56	 322.11	 4	-5 	0
2025-11-04 11:45:38	 4168	 334	1552	56	 299.26	 0	-1 	0
