timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 15:26:17	 363	 -96	784	56	 145.55	 -2	0 	0
2025-11-04 15:26:18	 420	 -108	797	56	 73.48	 0	2 	0
2025-11-04 15:26:19	 455	 -67	991	16	 99.84	 0	3 	0
2025-11-04 15:26:20	 490	 -65	1022	24	 99.84	 0	0 	0
2025-11-04 15:26:22	 557	 -59	990	16	 99.84	 0	-5 	0
2025-11-04 15:26:23	 592	 -26	848	8	 99.84	 0	0 	0
2025-11-04 15:26:24	 627	 -53	1017	24	 99.84	 -1	5 	0
2025-11-04 15:26:25	 662	 -91	1097	32	 99.84	 -2	7 	0
2025-11-04 15:26:26	 697	 -122	1232	40	 99.84	 -1	0 	0
2025-11-04 15:26:27	 732	 -126	1224	40	 85.78	 -1	-1 	0
2025-11-04 15:26:29	 799	 -125	1234	40	 76.99	 0	4 	0
2025-11-04 15:26:30	 834	 -127	1263	48	 343.83	 -1	0 	0
2025-11-04 15:26:34	 986	 -127	1263	48	 75.23	 1	0 	0
2025-11-04 15:26:35	 1021	 -111	1268	56	 78.75	 0	2 	0
2025-11-04 15:26:36	 1056	 -17	1466	56	 359.65	 0	0 	0
2025-11-04 15:26:37	 1091	 -17	1375	56	 268.24	 -1	-3 	0
2025-11-04 15:26:38	 1126	 -17	1273	56	 1.41	 0	-3 	0
2025-11-04 15:26:39	 1161	 44	1263	40	 124.45	 0	0 	0
2025-11-04 15:26:40	 1196	 -44	1280	56	 108.63	 -4	4 	0
2025-11-04 15:26:41	 1231	 -107	1460	56	 54.14	 1	4 	0
2025-11-04 15:26:42	 1266	 40	1586	56	 6.68	 6	2 	0
2025-11-04 15:26:43	 1301	 224	1587	56	 347.34	 1	-1 	0
2025-11-04 15:26:46	 1380	 219	1577	56	 50.62	 -2	-2 	0
2025-11-04 15:26:47	 1415	 92	1552	56	 10.20	 -6	-1 	0
2025-11-04 15:26:48	 1450	 -112	1542	56	 3.16	 -1	-1 	0
