
When: 2025-11-02 22:16:17 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-02 22:16:21	 550	 -96	763	56	 90.00	 0	-2 	0
2025-11-02 22:16:22	 585	 -96	743	56	 90.00	 0	-1 	0
2025-11-02 22:16:27	 776	 -95	934	8	 77.70	 -1	6 	0
2025-11-02 22:16:28	 811	 -70	1182	40	 86.48	 0	8 	0
2025-11-02 22:16:29	 846	 -60	1410	56	 61.88	 0	2 	0
2025-11-02 22:16:30	 881	 -45	1477	56	 56.60	 2	5 	0
2025-11-02 22:16:31	 927	 -17	1544	56	 9.14	 0	0 	0
2025-11-02 22:16:32	 962	 101	1554	56	 346.29	 7	-2 	0
2025-11-02 22:16:33	 997	 309	1552	56	 281.25	 4	-1 	0
2025-11-02 22:16:34	 1032	 350	1552	56	 263.67	 0	0 	0
2025-11-02 22:16:40	 1243	 374	1400	56	 247.85	 -2	-8 	0
2025-11-02 22:16:41	 1278	 341	1142	56	 274.22	 0	-8 	0
2025-11-02 22:16:42	 1313	 351	991	56	 300.59	 0	-1 	0
2025-11-02 22:16:45	 1396	 340	1015	56	 290.04	 -2	5 	0
2025-11-02 22:16:46	 1431	 391	1069	56	 339.26	 6	-2 	0
2025-11-02 22:16:47	 1466	 431	1013	56	 260.16	 0	-1 	0
2025-11-02 22:16:55	 1769	 405	1070	56	 121.29	 -2	3 	0
2025-11-02 22:16:56	 1804	 388	1108	56	 242.58	 -1	0 	0
2025-11-02 22:16:58	 1863	 421	1015	56	 316.41	 0	-2 	0
2025-11-02 22:16:59	 1898	 391	1098	56	 290.04	 -3	6 	0
2025-11-02 22:17:00	 1933	 344	1096	56	 249.61	 -3	-7 	0
2025-11-02 22:17:01	 1968	 400	904	54	 318.16	 3	-6 	0
2025-11-02 22:17:02	 2003	 558	884	40	 79.45	 4	5 	0
2025-11-02 22:17:03	 2038	 550	943	40	 177.89	 -6	0 	0
2025-11-02 22:17:04	 2073	 339	967	56	 102.30	 -3	0 	0
2025-11-02 22:17:06	 2138	 372	962	56	 341.02	 5	-2 	0
2025-11-02 22:17:07	 2173	 558	921	40	 353.32	 1	-1 	0
2025-11-02 22:17:12	 2341	 574	917	40	 337.50	 1	-1 	0
2025-11-02 22:17:13	 2376	 706	811	56	 348.05	 3	-3 	0
2025-11-02 22:17:14	 2411	 863	802	40	 10.90	 1	0 	0
2025-11-02 22:17:18	 2558	 881	806	40	 28.48	 2	1 	0
2025-11-02 22:17:19	 2593	 963	846	40	 337.50	 2	-1 	0
2025-11-02 22:17:21	 2658	 1135	819	40	 77.70	 0	3 	0
2025-11-02 22:17:22	 2693	 1135	864	40	 16.17	 0	0 	0
2025-11-02 22:17:25	 2803	 1099	874	40	 206.02	 -1	0 	0
2025-11-02 22:17:26	 2838	 1060	852	40	 213.05	 -2	-1 	0
2025-11-02 22:17:27	 2873	 1037	859	40	 119.88	 -3	3 	0
2025-11-02 22:17:28	 2908	 976	976	40	 213.05	 0	0 	0
2025-11-02 22:17:29	 2943	 935	855	40	 200.74	 -6	-6 	0
2025-11-02 22:17:30	 2978	 747	674	56	 279.84	 -2	-8 	0
2025-11-02 22:17:31	 3013	 751	528	72	 279.84	 0	-4 	0
2025-11-02 22:17:32	 3048	 778	528	72	 322.03	 3	-4 	0
2025-11-02 22:17:33	 3083	 862	528	72	 78.05	 0	-1 	0
2025-11-02 22:17:34	 3118	 763	664	56	 144.84	 -7	5 	0
2025-11-02 22:17:35	 3153	 537	844	56	 158.91	 -8	4 	0
2025-11-02 22:17:36	 3188	 336	1029	56	 93.87	 -1	4 	0
2025-11-02 22:17:37	 3223	 350	1265	56	 78.05	 1	7 	0
2025-11-02 22:17:38	 3258	 356	1541	56	 153.63	 -5	6 	0
2025-11-02 22:17:39	 3293	 182	1646	56	 95.62	 -3	4 	0
2025-11-02 22:17:47	 3579	 177	1775	56	 102.66	 -1	0 	0
2025-11-02 22:17:48	 3614	 107	1973	48	 102.66	 -3	5 	0
2025-11-02 22:17:49	 3649	 79	2035	48	 102.66	 -1	0 	0
2025-11-02 22:17:51	 3730	 -5	2110	48	 143.09	 -6	4 	0
2025-11-02 22:17:52	 3765	 -137	2326	48	 42.89	 2	7 	0
2025-11-02 22:17:53	 3800	 -96	2413	48	 2.46	 0	0 	0
2025-11-02 22:17:55	 3838	 -21	2453	48	 9.49	 6	2 	0
2025-11-02 22:17:56	 3873	 85	2481	48	 343.12	 0	0 	0
2025-11-02 22:17:58	 3967	 123	2448	48	 274.57	 1	-1 	0
2025-11-02 22:17:59	 4002	 139	2448	48	 279.84	 0	-1 	0
2025-11-02 22:18:03	 4145	 152	2443	48	 278.09	 0	-3 	0
2025-11-02 22:18:04	 4180	 157	2212	48	 276.33	 0	-9 	0
2025-11-02 22:18:05	 4215	 187	1924	48	 276.33	 0	-9 	0
2025-11-02 22:18:06	 4250	 191	1635	56	 290.39	 0	-9 	0
2025-11-02 22:18:07	 4285	 257	1558	56	 7.73	 6	0 	0
2025-11-02 22:18:08	 4320	 529	1553	56	 7.73	 8	0 	0
2025-11-02 22:18:09	 4355	 719	1590	56	 83.32	 0	0 	0
2025-11-02 22:18:10	 4390	 628	1707	56	 97.38	 -6	6 	0
2025-11-02 22:18:11	 4425	 585	1705	56	 216.91	 -3	-3 	0
2025-11-02 22:18:12	 4460	 550	1541	56	 339.96	 4	-3 	0
2025-11-02 22:18:13	 4495	 702	1601	56	 103.01	 1	6 	0
2025-11-02 22:18:14	 4530	 560	1677	56	 215.51	 -5	-4 	0
2025-11-02 22:18:15	 4565	 389	1524	56	 262.97	 -4	-7 	0
2025-11-02 22:18:16	 4600	 381	1253	56	 280.55	 1	-9 	0
2025-11-02 22:18:17	 4635	 370	974	56	 248.91	 -4	-8 	0
2025-11-02 22:18:18	 4670	 249	721	40	 197.93	 -7	-5 	0
2025-11-02 22:18:21	 4753	 177	677	40	 233.09	 -1	-1 	5
2025-11-02 22:18:22	 4788	 92	648	40	 240.12	 -4	-1 	5
2025-11-02 22:18:26	 4925	 86	649	152	 13.71	 3	0 	5
2025-11-02 22:18:27	 4960	 196	679	152	 82.27	 0	0 	0
2025-11-02 22:18:28	 4995	 246	717	40	 38.32	 4	4 	0
2025-11-02 22:18:29	 5030	 473	838	40	 336.80	 7	-1 	0
2025-11-02 22:18:30	 5065	 741	752	56	 356.13	 7	-3 	0
2025-11-02 22:18:31	 5118	 879	741	40	 34.80	 0	1 	0
2025-11-02 22:18:32	 5153	 885	831	40	 59.41	 1	6 	0
2025-11-02 22:18:33	 5188	 972	943	40	 64.69	 2	0 	0
2025-11-02 22:18:36	 5285	 1005	1042	40	 91.05	 -1	3 	0
2025-11-02 22:18:37	 5320	 1001	1181	40	 170.16	 -1	0 	0
2025-11-02 22:18:38	 5355	 920	1144	40	 189.49	 -3	-2 	0
2025-11-02 22:18:39	 5390	 912	1120	40	 312.54	 0	-1 	0
2025-11-02 22:18:40	 5425	 1071	1108	40	 351.21	 0	0 	0
2025-11-02 22:18:42	 5512	 1062	1108	40	 159.61	 -4	1 	0
2025-11-02 22:18:43	 5547	 1024	1131	40	 98.09	 -1	3 	0
2025-11-02 22:19:08	 6324	 1065	1975	0	 204.96	 -3	-1 	13
2025-11-02 22:19:09	 6359	 1039	1969	0	 289.34	 -1	-1 	13
2025-11-02 22:19:10	 6400	 1039	1879	-9	 248.91	 -2	-6 	0
2025-11-02 22:19:11	 6435	 1011	1640	0	 224.30	 -2	-1 	0
2025-11-02 22:19:12	 6470	 875	1582	38	 240.12	 -4	-2 	0
2025-11-02 22:19:21	 6794	 880	1566	40	 342.07	 5	-1 	0
2025-11-02 22:19:22	 6829	 996	1509	40	 301.64	 2	-5 	0
2025-11-02 22:19:23	 6864	 1143	1480	40	 347.34	 7	-1 	0
