timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 10:37:01	 395	 448	752	128	 91.41	 0	-1 	0
2025-11-04 10:37:02	 430	 495	747	128	 14.06	 0	-1 	0
2025-11-04 10:37:03	 465	 522	747	128	 4.22	 4	0 	0
2025-11-04 10:37:04	 500	 697	720	128	 202.50	 0	-1 	0
2025-11-04 10:37:05	 535	 637	669	128	 180.00	 -4	-2 	0
2025-11-04 10:37:06	 570	 391	662	23	 174.38	 -11	1 	0
2025-11-04 10:37:07	 605	 410	678	16	 357.19	 13	0 	0
2025-11-04 10:37:08	 640	 604	662	112	 28.12	 1	0 	0
2025-11-04 10:37:09	 675	 768	828	128	 92.81	 2	0 	0
2025-11-04 10:37:10	 710	 597	790	128	 92.81	 -12	1 	0
2025-11-04 10:37:13	 772	 -867	1648	0	 159.96	 -3	0 	0
2025-11-04 10:37:14	 807	 -986	1689	0	 198.63	 1	1 	0
2025-11-04 10:37:15	 842	 -917	1727	0	 321.68	 0	0 	0
2025-11-04 10:37:16	 877	 -911	1706	0	 307.62	 1	-4 	0
2025-11-04 10:37:17	 912	 -863	1639	0	 254.88	 0	3 	0
2025-11-04 10:37:18	 947	 -884	1666	0	 197.97	 -2	-1 	0
2025-11-04 10:37:25	 1188	 -899	1658	0	 108.33	 -1	2 	0
2025-11-04 10:37:26	 1223	 -931	1695	0	 52.08	 -3	-5 	0
2025-11-04 10:37:27	 1258	 -966	1619	0	 299.58	 1	-4 	0
2025-11-04 10:37:28	 1293	 -936	1593	0	 276.72	 0	-5 	0
2025-11-04 10:37:29	 1328	 -925	1487	0	 259.15	 0	-2 	0
2025-11-04 10:37:30	 1363	 -947	1485	0	 276.72	 -1	0 	0
2025-11-04 10:37:31	 1400	 -955	1490	0	 271.45	 -1	0 	0
2025-11-04 10:37:32	 1435	 -950	1297	0	 290.79	 1	-7 	0
2025-11-04 10:37:33	 1474	 -1004	1254	0	 45.04	 2	2 	0
2025-11-04 10:37:34	 1509	 -971	1315	0	 18.68	 -4	0 	0
2025-11-04 10:37:35	 1544	 -983	1318	0	 8.13	 0	0 	0
2025-11-04 10:37:36	 1579	 -906	1327	0	 62.62	 1	0 	0
2025-11-04 10:37:37	 1614	 -911	1423	0	 92.50	 -1	7 	0
2025-11-04 10:37:38	 1649	 -924	1467	0	 36.25	 -1	-1 	0
2025-11-04 10:37:39	 1684	 -928	1473	0	 287.27	 -1	0 	0
2025-11-04 10:37:40	 1719	 -925	1442	0	 273.21	 -1	-2 	0
2025-11-04 10:37:41	 1754	 -919	1304	0	 276.72	 0	-2 	0
2025-11-04 10:37:42	 1789	 -937	1121	0	 280.24	 0	-8 	0
2025-11-04 10:37:43	 1824	 -839	962	0	 9.89	 6	-1 	0
2025-11-04 10:37:44	 1859	 -695	975	0	 92.50	 0	0 	0
2025-11-04 10:37:45	 1894	 -708	932	0	 147.00	 -4	3 	0
2025-11-04 10:37:46	 1929	 -972	1151	0	 64.38	 -3	3 	0
2025-11-04 10:37:47	 1964	 -902	1246	0	 39.77	 5	4 	0
2025-11-04 10:37:48	 1999	 -849	1300	0	 324.18	 0	0 	0
2025-11-04 10:37:49	 2040	 -849	1159	0	 297.82	 0	-4 	0
2025-11-04 10:37:50	 2075	 -849	1087	0	 340.00	 0	-1 	0
2025-11-04 10:37:51	 2110	 -843	1045	0	 2.86	 0	-1 	0
2025-11-04 10:37:53	 2183	 -820	1050	0	 27.47	 0	-1 	0
2025-11-04 10:37:54	 2226	 -805	1047	0	 46.80	 0	0 	0
2025-11-04 10:37:55	 2261	 -816	1034	0	 46.80	 2	2 	0
2025-11-04 10:37:57	 2318	 -760	1047	0	 15.16	 2	0 	0
2025-11-04 10:37:58	 2353	 -734	1043	0	 257.39	 -1	-3 	0
2025-11-04 10:37:59	 2388	 -765	862	16	 264.42	 -1	-8 	0
2025-11-04 10:38:00	 2423	 -780	737	48	 255.63	 -2	-5 	0
2025-11-04 10:38:01	 2458	 -836	528	48	 296.06	 -2	0 	17
2025-11-04 10:38:02	 2493	 -922	615	48	 297.82	 -1	0 	17
2025-11-04 10:38:03	 2528	 -948	693	48	 285.51	 -1	0 	17
2025-11-04 10:38:04	 2563	 -987	711	48	 317.15	 -1	0 	17
2025-11-04 10:38:05	 2598	 -947	666	48	 347.04	 1	-2 	17
2025-11-04 10:38:06	 2633	 -957	672	48	 22.19	 5	2 	17
2025-11-04 10:38:07	 2668	 -752	856	16	 60.86	 6	8 	0
2025-11-04 10:38:08	 2703	 -656	992	0	 34.50	 1	1 	0
2025-11-04 10:38:09	 2738	 -452	1022	0	 11.65	 5	0 	0
2025-11-04 10:38:10	 2773	 -361	1039	0	 97.78	 0	0 	0
2025-11-04 10:38:11	 2808	 -372	972	0	 20.43	 4	1 	0
2025-11-04 10:38:12	 2843	 -325	988	0	 355.83	 0	0 	0
2025-11-04 10:38:13	 2878	 -239	980	0	 303.09	 0	-1 	0
2025-11-04 10:38:14	 2913	 -224	925	0	 269.69	 0	-2 	0
2025-11-04 10:38:15	 2948	 -228	733	16	 218.72	 0	-2 	0
2025-11-04 10:38:16	 2983	 -174	729	16	 223.99	 -3	-4 	0
2025-11-04 10:38:17	 3018	 -210	692	16	 216.96	 -1	-1 	0
2025-11-04 10:38:20	 3107	 -146	763	16	 250.36	 -1	-1 	0
2025-11-04 10:38:21	 3142	 -237	588	16	 208.17	 -3	-3 	0
2025-11-04 10:38:22	 3177	 -258	559	16	 192.35	 -1	-1 	0
