When: 2025-11-03 13:15:59 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 13:16:01	 319	 1936	3488	0	 26.37	 0	0 	0
2025-11-03 13:16:02	 354	 2021	3528	0	 352.97	 1	0 	0
2025-11-03 13:16:05	 468	 2088	3529	0	 349.45	 0	-1 	0
2025-11-03 13:16:06	 503	 2087	3530	0	 349.45	 -3	0 	4
2025-11-03 13:16:07	 538	 2059	3537	0	 345.94	 -1	-1 	0
2025-11-03 13:16:09	 617	 2065	3532	0	 0.00	 1	0 	0
2025-11-03 13:16:10	 652	 2109	3535	0	 347.70	 0	0 	0
2025-11-03 13:16:11	 689	 2054	3547	0	 347.70	 -4	0 	0
2025-11-03 13:16:12	 724	 2083	3540	0	 347.70	 0	-1 	4
2025-11-03 13:16:13	 759	 2058	3551	0	 317.81	 -5	0 	0
2025-11-03 13:16:14	 794	 1954	3551	0	 351.21	 0	-1 	0
2025-11-03 13:16:15	 829	 2063	3518	0	 324.84	 0	-4 	0
2025-11-03 13:16:16	 874	 2105	3488	0	 354.73	 1	0 	0
2025-11-03 13:16:18	 941	 2122	3488	0	 316.05	 1	-1 	0
2025-11-03 13:16:19	 976	 2239	3357	-64	 324.84	 1	-3 	0
2025-11-03 13:16:20	 1011	 2268	3335	-64	 36.91	 3	2 	0
2025-11-03 13:16:21	 1046	 2441	3503	-64	 15.82	 6	4 	0
2025-11-03 13:16:22	 1081	 2508	3615	-64	 119.53	 -2	0 	0
2025-11-03 13:16:23	 1116	 2464	3596	-64	 221.48	 -5	-4 	0
2025-11-03 13:16:24	 1151	 2380	3515	-64	 177.54	 -6	-4 	0
2025-11-03 13:16:25	 1186	 2192	3500	-64	 138.87	 -1	2 	0
2025-11-03 13:16:26	 1221	 2146	3615	-64	 193.36	 -6	-1 	0
2025-11-03 13:16:27	 1256	 2134	3584	-64	 291.80	 1	-1 	0
2025-11-03 13:16:28	 1291	 2144	3584	-64	 277.73	 -1	-1 	0
2025-11-03 13:16:29	 1326	 2267	3562	-64	 318.16	 1	-3 	0
2025-11-03 13:16:30	 1361	 2276	3523	-64	 283.01	 1	-5 	0
2025-11-03 13:16:31	 1396	 2301	3369	-64	 272.46	 -1	-7 	0
2025-11-03 13:16:32	 1431	 2403	3221	-48	 31.99	 5	1 	0
2025-11-03 13:16:33	 1466	 2506	3247	-8	 0.35	 0	0 	0
2025-11-03 13:16:34	 1501	 2654	3266	0	 75.94	 2	0 	0
2025-11-03 13:16:38	 1643	 2671	3246	0	 95.27	 0	-1 	0
2025-11-03 13:16:39	 1678	 2671	3227	0	 88.24	 0	-1 	0
2025-11-03 13:16:41	 1735	 2671	3272	0	 88.24	 0	6 	0
2025-11-03 13:16:42	 1770	 2659	3541	0	 105.82	 -2	8 	0
2025-11-03 13:16:43	 1805	 2563	3708	0	 176.13	 -1	0 	0
2025-11-03 13:16:45	 1870	 2537	3714	0	 188.44	 -5	-1 	0
2025-11-03 13:16:46	 1905	 2287	3700	0	 170.86	 -9	0 	0
2025-11-03 13:16:47	 1940	 2030	3685	0	 260.51	 -4	-2 	0
2025-11-03 13:16:48	 1975	 2015	3670	0	 2.46	 4	0 	0
2025-11-03 13:16:49	 2010	 2266	3681	0	 2.46	 8	0 	0
2025-11-03 13:16:50	 2045	 2554	3665	0	 348.40	 8	-2 	0
2025-11-03 13:16:51	 2080	 2671	3613	0	 271.05	 0	-5 	0
2025-11-03 13:16:52	 2115	 2671	3410	0	 283.36	 0	-2 	0
2025-11-03 13:16:53	 2150	 2735	3356	0	 302.70	 0	-1 	3
2025-11-03 13:16:58	 2334	 2727	3351	96	 116.37	 -1	0 	3
2025-11-03 13:16:59	 2375	 2739	3374	96	 119.88	 2	-6 	3
2025-11-03 13:17:00	 2410	 2756	3317	96	 163.83	 -5	1 	0
2025-11-03 13:17:01	 2445	 2720	3355	0	 130.43	 0	0 	3
2025-11-03 13:17:02	 2480	 2617	3412	0	 188.44	 -7	-1 	0
2025-11-03 13:17:03	 2515	 2560	3330	0	 256.99	 -1	-6 	0
2025-11-03 13:17:04	 2550	 2558	3169	0	 311.48	 1	-3 	0
2025-11-03 13:17:05	 2585	 2609	3100	0	 44.65	 0	-1 	0
2025-11-03 13:17:07	 2638	 2596	3088	0	 102.66	 -1	0 	0
2025-11-03 13:17:08	 2673	 2476	3156	0	 136.05	 -7	4 	0
2025-11-03 13:17:09	 2708	 2304	3268	-64	 139.57	 -1	1 	0
2025-11-03 13:17:10	 2743	 2244	3296	-64	 171.21	 -2	0 	0
2025-11-03 13:17:12	 2804	 2227	3296	-64	 0.70	 0	0 	0
2025-11-03 13:17:13	 2840	 2239	3280	-64	 353.67	 0	-1 	0
2025-11-03 13:17:14	 2875	 2324	3334	-64	 330.82	 6	-1 	0
2025-11-03 13:17:15	 2910	 2384	3319	-64	 225.35	 -3	-3 	0
2025-11-03 13:17:16	 2945	 2316	3221	-64	 311.48	 3	-4 	0
2025-11-03 13:17:17	 2980	 2507	3223	-8	 4.22	 7	0 	0
2025-11-03 13:17:18	 3022	 2671	3245	0	 100.90	 -1	1 	0
2025-11-03 13:17:19	 3057	 2629	3462	0	 102.66	 -2	7 	0
2025-11-03 13:17:20	 3092	 2560	3640	0	 157.15	 -1	2 	0
2025-11-03 13:17:21	 3127	 2560	3621	0	 176.48	 -1	-2 	0
2025-11-03 13:17:22	 3162	 2526	3720	0	 167.70	 -6	4 	0
2025-11-03 13:17:23	 3197	 2327	3668	0	 259.10	 -3	-4 	0
2025-11-03 13:17:24	 3232	 2298	3664	0	 313.59	 0	-1 	0
2025-11-03 13:17:25	 3267	 2371	3664	0	 273.16	 0	-1 	0
2025-11-03 13:17:26	 3312	 2381	3664	0	 220.43	 -2	-1 	0
2025-11-03 13:17:27	 3347	 2314	3664	0	 257.34	 -1	0 	0
2025-11-03 13:17:28	 3382	 2350	3657	-8	 267.89	 2	-3 	0
2025-11-03 13:17:29	 3417	 2348	3544	0	 266.13	 -1	-3 	0
2025-11-03 13:17:30	 3452	 2346	3515	0	 243.28	 -1	-1 	0
2025-11-03 13:17:33	 3547	 2319	3457	-64	 245.04	 -1	-1 	0
2025-11-03 13:17:34	 3582	 2294	3403	-64	 245.04	 -3	-6 	0
2025-11-03 13:17:35	 3617	 2225	3289	-64	 281.95	 -1	-1 	0
2025-11-03 13:17:37	 3710	 2217	3212	-64	 257.34	 -1	-7 	0
2025-11-03 13:17:38	 3745	 2145	3088	-64	 283.71	 -1	-1 	0
2025-11-03 13:17:39	 3780	 2255	3099	-64	 43.24	 0	1 	0
2025-11-03 13:17:40	 3815	 2255	3180	-64	 101.25	 0	0 	0
2025-11-03 13:17:41	 3850	 2237	3239	-64	 67.85	 -1	0 	0
2025-11-03 13:17:42	 3885	 2277	3414	-64	 18.63	 5	5 	0
2025-11-03 13:17:43	 3920	 2446	3447	-64	 311.84	 1	-1 	0
2025-11-03 13:18:56	 6478	 2451	3442	-64	 206.37	 -3	-2 	0
2025-11-03 13:18:57	 6513	 2305	3339	-64	 281.95	 -1	-5 	0
2025-11-03 13:18:58	 6548	 2342	3216	-64	 343.48	 4	-1 	0
2025-11-03 13:18:59	 6583	 2551	3182	0	 324.14	 6	-4 	0
2025-11-03 13:19:02	 6687	 2636	3150	0	 92.46	 -1	3 	0
2025-11-03 13:19:03	 6722	 2671	3293	0	 59.06	 0	5 	0
2025-11-03 13:19:04	 6757	 2708	3389	0	 4.57	 0	0 	3
2025-11-03 13:19:05	 6792	 2735	3407	0	 29.18	 0	0 	3
2025-11-03 13:19:07	 6863	 2861	3422	96	 9.84	 7	1 	0
2025-11-03 13:19:08	 6898	 3138	3416	112	 329.41	 7	-3 	0
2025-11-03 13:19:09	 6933	 3426	3316	16	 15.12	 9	-3 	0
2025-11-03 13:19:10	 6968	 3598	3337	32	 2.81	 7	0 	0
2025-11-03 13:19:11	 7003	 3721	3375	96	 2.81	 11	1 	0
2025-11-03 13:19:12	 7038	 3721	3394	96	 325.90	 0	0 	0
2025-11-03 13:19:13	 7073	 3714	3406	96	 325.90	 -1	0 	0
2025-11-03 13:19:14	 7108	 3708	3422	112	 101.16	 -1	0 	0
2025-11-03 13:19:15	 7143	 3683	3426	112	 0.56	 -1	0 	0


When: 2025-11-03 13:20:31 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 13:20:35	 495	 1936	3488	0	 12.30	 0	0 	0
2025-11-03 13:20:36	 530	 2024	3506	0	 0.00	 2	0 	0
2025-11-03 13:20:38	 592	 2120	3510	0	 0.00	 5	0 	0
2025-11-03 13:20:39	 627	 2036	3510	0	 0.00	 -8	-1 	0
2025-11-03 13:20:42	 726	 1870	3510	0	 0.00	 4	0 	0
2025-11-03 13:20:43	 761	 2013	3510	0	 0.00	 0	0 	0
2025-11-03 13:20:44	 798	 2040	3510	0	 0.00	 4	0 	0
2025-11-03 13:20:45	 833	 2073	3510	0	 0.00	 -1	-1 	0
2025-11-03 13:20:46	 868	 2040	3510	0	 351.21	 -1	-1 	0
2025-11-03 13:20:47	 922	 1886	3533	0	 351.21	 -9	1 	0
2025-11-03 13:20:49	 984	 2019	3510	0	 351.21	 7	-2 	0
2025-11-03 13:20:50	 1019	 2035	3504	0	 351.21	 -3	0 	0
2025-11-03 13:20:51	 1054	 2093	3495	0	 351.21	 4	-1 	0
2025-11-03 13:20:52	 1089	 2141	3501	0	 282.66	 -1	4 	0
2025-11-03 13:20:53	 1124	 2141	3530	0	 277.38	 1	-5 	0
2025-11-03 13:20:54	 1159	 2161	3287	-64	 349.45	 0	-5 	0
2025-11-03 13:20:56	 1228	 2193	3395	-48	 70.31	 1	7 	0
2025-11-03 13:20:57	 1263	 2320	3506	-64	 3.52	 5	-3 	0
2025-11-03 13:20:58	 1298	 2504	3523	-64	 107.23	 1	0 	0
2025-11-03 13:21:01	 1398	 2420	3615	-64	 268.95	 -1	-1 	0
2025-11-03 13:21:02	 1433	 2374	3416	-64	 232.03	 -5	-8 	0
2025-11-03 13:21:03	 1468	 2280	3296	-64	 318.16	 -1	0 	0
2025-11-03 13:21:04	 1503	 2341	3231	-64	 332.23	 2	-5 	0
2025-11-03 13:21:05	 1538	 2528	3239	0	 10.90	 7	0 	0
2025-11-03 13:21:06	 1573	 2671	3309	0	 104.06	 0	0 	0
2025-11-03 13:21:07	 1615	 2682	3312	0	 104.06	 1	0 	0
2025-11-03 13:21:08	 1650	 2697	3323	0	 116.37	 -1	1 	0
2025-11-03 13:21:09	 1685	 2684	3351	0	 116.37	 -1	0 	0
2025-11-03 13:21:10	 1720	 2641	3510	0	 86.48	 0	7 	0
2025-11-03 13:21:11	 1755	 2594	3697	0	 186.68	 -1	1 	0
2025-11-03 13:21:13	 1821	 2579	3708	0	 176.13	 -4	0 	0
2025-11-03 13:21:14	 1856	 2356	3691	0	 244.69	 -4	-2 	0
2025-11-03 13:21:15	 1891	 2306	3673	0	 304.45	 -1	-1 	0
2025-11-03 13:21:18	 1982	 2354	3759	0	 46.41	 0	0 	0
2025-11-03 13:21:19	 2042	 2365	3749	0	 272.81	 0	-4 	0
2025-11-03 13:21:20	 2078	 2349	3661	-5	 272.81	 -1	-1 	0
2025-11-03 13:21:21	 2113	 2343	3565	0	 272.81	 0	-2 	0
2025-11-03 13:21:22	 2148	 2338	3663	-8	 265.78	 -1	1 	0
2025-11-03 13:21:23	 2183	 2337	3683	-8	 256.99	 -1	-1 	0
2025-11-03 13:21:24	 2218	 2304	3664	0	 265.78	 -1	0 	0
2025-11-03 13:21:25	 2253	 2351	3660	-8	 309.73	 0	-2 	0
2025-11-03 13:21:26	 2288	 2352	3574	0	 241.17	 -1	-2 	0
2025-11-03 13:21:27	 2323	 2267	3410	-64	 256.99	 -2	-3 	0
2025-11-03 13:21:28	 2358	 2242	3336	-64	 260.51	 -2	-7 	0
2025-11-03 13:21:29	 2393	 2230	3210	-64	 253.48	 -1	-1 	0
2025-11-03 13:21:30	 2428	 2158	3088	-64	 214.80	 -1	0 	0
2025-11-03 13:21:43	 2866	 2150	3102	-64	 84.73	 0	4 	0
2025-11-03 13:21:44	 2901	 2223	3316	-64	 88.24	 2	7 	0
2025-11-03 13:21:45	 2936	 2251	3444	-64	 133.95	 4	-4 	0
2025-11-03 13:21:46	 2971	 2248	3372	-64	 186.68	 -7	-3 	0
2025-11-03 13:21:47	 3006	 2130	3448	0	 70.66	 1	6 	0
2025-11-03 13:21:48	 3041	 2160	3582	0	 174.38	 0	0 	0
2025-11-03 13:21:49	 3078	 2162	3594	-64	 271.05	 0	-1 	0
2025-11-03 13:21:50	 3113	 2232	3518	-64	 271.05	 1	-7 	0
2025-11-03 13:21:51	 3148	 2204	3340	-64	 155.04	 -1	-2 	0
2025-11-03 13:21:52	 3183	 2128	3439	-16	 109.34	 -1	5 	0
2025-11-03 13:21:53	 3218	 2110	3503	0	 169.10	 -4	1 	0
