timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-02 21:44:37	 253	 10	236	0	 90.00	 0	7 	0
2025-11-02 21:44:38	 288	 54	495	0	 10.90	 1	3 	0
2025-11-02 21:44:39	 323	 177	476	0	 335.74	 5	-4 	0
2025-11-02 21:44:40	 358	 311	427	0	 2.11	 1	-1 	0
2025-11-02 21:44:41	 393	 316	426	0	 356.84	 -4	0 	0
2025-11-02 21:44:42	 428	 215	428	0	 349.80	 3	-1 	0
2025-11-02 21:44:43	 463	 440	399	0	 353.32	 3	-1 	0
2025-11-02 21:44:44	 498	 478	393	0	 355.08	 0	-1 	0
2025-11-02 21:44:46	 570	 493	390	0	 351.56	 4	-1 	0
2025-11-02 21:44:47	 605	 739	338	0	 0.35	 8	-1 	0
2025-11-02 21:44:48	 640	 830	292	0	 116.37	 -2	1 	0
2025-11-02 21:44:49	 675	 751	412	0	 81.21	 -1	-4 	0
2025-11-02 21:44:50	 710	 808	325	0	 355.08	 6	-1 	0
2025-11-02 21:44:51	 745	 999	320	0	 56.60	 2	2 	0
2025-11-02 21:44:52	 780	 1079	363	0	 341.02	 5	-2 	0
2025-11-02 21:44:53	 815	 1323	285	0	 17.93	 5	-1 	0
2025-11-02 21:44:54	 850	 1420	214	0	 297.07	 3	-6 	0
2025-11-02 21:44:55	 885	 1478	144	0	 268.95	 0	5 	0
2025-11-02 21:44:56	 920	 1481	234	0	 246.09	 -1	-2 	0
2025-11-02 21:44:59	 1019	 1480	217	0	 261.91	 -1	-3 	0
2025-11-02 21:45:00	 1054	 1488	68	0	 286.52	 0	-2 	0
2025-11-02 21:45:03	 1162	 1488	50	0	 246.09	 -1	-4 	0
2025-11-02 21:45:04	 1197	 1453	-102	0	 291.80	 2	-6 	0
2025-11-02 21:45:05	 1232	 1408	-166	0	 9.14	 -5	0 	0
2025-11-02 21:45:06	 1267	 1559	-171	0	 316.41	 7	-3 	0
2025-11-02 21:45:07	 1302	 1652	-226	0	 239.06	 0	-1 	0
2025-11-02 21:45:08	 1337	 1613	-299	0	 247.85	 -4	-7 	0
2025-11-02 21:45:09	 1372	 1543	-561	0	 214.45	 -4	-7 	0
2025-11-02 21:45:10	 1407	 1486	-596	0	 121.29	 -4	4 	0
2025-11-02 21:45:11	 1442	 1469	-356	0	 68.55	 2	7 	0
2025-11-02 21:45:12	 1477	 1504	-75	0	 101.95	 -1	8 	0
2025-11-02 21:45:13	 1512	 1461	210	0	 135.35	 -4	7 	0
2025-11-02 21:45:14	 1547	 1232	313	0	 186.33	 -8	-2 	0
2025-11-02 21:45:15	 1582	 954	356	0	 170.51	 -9	1 	0
2025-11-02 21:45:16	 1617	 667	393	0	 175.78	 -9	1 	0
2025-11-02 21:45:17	 1652	 378	425	0	 172.27	 -9	1 	0
2025-11-02 21:45:18	 1687	 97	488	0	 142.38	 -8	3 	0
2025-11-02 21:45:19	 1745	 1723	324	-64	 315.00	 4	-5 	3
2025-11-02 21:45:20	 1780	 1846	131	-64	 258.75	 0	-3 	0
2025-11-02 21:45:21	 1815	 1856	113	-64	 265.78	 0	2 	0
2025-11-02 21:45:22	 1850	 1860	154	-64	 265.78	 -1	-2 	0
2025-11-02 21:45:23	 1885	 1870	238	-64	 253.48	 0	0 	0
2025-11-02 21:45:25	 1933	 1870	229	-64	 267.54	 -1	-5 	0
2025-11-02 21:45:26	 1968	 1872	-15	-64	 242.93	 -3	-8 	0
2025-11-02 21:45:27	 2003	 1849	-285	-64	 307.97	 3	-8 	0
2025-11-02 21:45:28	 2038	 1961	-444	-56	 334.34	 5	-4 	0
2025-11-02 21:45:29	 2073	 2056	-600	-64	 214.80	 -5	-4 	0
2025-11-02 21:45:30	 2108	 1834	-734	-64	 188.44	 -8	-3 	0
2025-11-02 21:45:31	 2143	 1551	-763	-64	 165.59	 -9	1 	0
2025-11-02 21:45:32	 2178	 1317	-711	-64	 165.59	 -3	0 	0
2025-11-02 21:45:33	 2220	 1297	-709	-64	 198.98	 -1	-1 	0
2025-11-02 21:45:34	 2255	 1116	-758	-64	 130.43	 -2	-3 	0
2025-11-02 21:45:35	 2290	 1132	-884	-64	 75.94	 0	-1 	0
2025-11-02 21:45:36	 2325	 1227	-879	-64	 355.08	 7	-1 	0
2025-11-02 21:45:37	 2360	 1413	-874	-64	 109.34	 1	-4 	0
2025-11-02 21:45:38	 2395	 1452	-949	-64	 126.91	 3	-5 	0
2025-11-02 21:45:39	 2430	 1531	-1044	-64	 139.22	 0	-1 	0
2025-11-02 21:45:40	 2466	 1520	-987	-64	 126.91	 -3	6 	0
2025-11-02 21:45:41	 2501	 1608	-986	-64	 140.98	 3	-2 	0
2025-11-02 21:45:42	 2536	 1638	-998	-64	 90.00	 -1	3 	0
2025-11-02 21:45:43	 2571	 1716	-779	-64	 81.21	 2	7 	0
2025-11-02 21:45:44	 2606	 1760	-560	-64	 163.83	 3	0 	0
2025-11-02 21:45:45	 2641	 1803	-584	-64	 223.59	 -2	-1 	0
2025-11-02 21:45:49	 2777	 1786	-597	-64	 221.84	 -3	-3 	0
2025-11-02 21:45:50	 2812	 1584	-699	-64	 167.34	 -8	0 	0
